path	repository	artifact_type	authority_class	review_relevance	review_depth	disposition	related_findings	reason
docs/development/development_checklist.md	Aranwill/jarvis	governing_or_current_state	development_method	audit_governance	FULL_READ	FULL_READ		directly governs audit method, authority, architecture, security or current baseline
docs/development/development_environment.md	Aranwill/jarvis	development_doc	development_method	method_context	TARGETED_READ	TARGETED_READ		development process or engineering context
docs/development/engineering_method.md	Aranwill/jarvis	governing_or_current_state	development_method	audit_governance	FULL_READ	FULL_READ		directly governs audit method, authority, architecture, security or current baseline
docs/development/evidence_manifest.md	Aranwill/jarvis	governing_or_current_state	development_method	audit_governance	FULL_READ	FULL_READ		directly governs audit method, authority, architecture, security or current baseline
docs/development/malak_construction_protocol.md	Aranwill/jarvis	governing_or_current_state	development_method	audit_governance	FULL_READ	FULL_READ		directly governs audit method, authority, architecture, security or current baseline
docs/governance/cognitive_constitution.md	Aranwill/jarvis	governing_or_current_state	constitutional	audit_governance	FULL_READ	FULL_READ		directly governs audit method, authority, architecture, security or current baseline
docs/governance/governance_constitution.md	Aranwill/jarvis	governing_or_current_state	constitutional	audit_governance	FULL_READ	FULL_READ		directly governs audit method, authority, architecture, security or current baseline
docs/knowledge/architecture/DOC-AKS-001_architecture_knowledge_system.md	Aranwill/jarvis	knowledge_doc	informational	context	TARGETED_READ	TARGETED_READ		technology/domain context; not construction authority
docs/knowledge/architecture/DOC-AKS-002_engineering_knowledge_library.md	Aranwill/jarvis	knowledge_doc	informational	context	TARGETED_READ	TARGETED_READ		technology/domain context; not construction authority
docs/knowledge/architecture/DOC-AKS-003_artifact_taxonomy.md	Aranwill/jarvis	knowledge_doc	informational	context	TARGETED_READ	TARGETED_READ		technology/domain context; not construction authority
docs/knowledge/examples/EXP-001_capability_folder_structure.md	Aranwill/jarvis	knowledge_doc	informational	context	TARGETED_READ	TARGETED_READ		technology/domain context; not construction authority
docs/knowledge/governance/knowledge_governance.md	Aranwill/jarvis	knowledge_doc	informational	context	TARGETED_READ	TARGETED_READ		technology/domain context; not construction authority
docs/knowledge/learning_packs/LPK-001_clean_code_functions.md	Aranwill/jarvis	knowledge_doc	informational	context	TARGETED_READ	TARGETED_READ		technology/domain context; not construction authority
docs/knowledge/recipes/REC-001_creating_new_capability.md	Aranwill/jarvis	knowledge_doc	informational	context	TARGETED_READ	TARGETED_READ		technology/domain context; not construction authority
docs/knowledge/standards/STD-001_coding_standards.md	Aranwill/jarvis	knowledge_doc	informational	context	TARGETED_READ	TARGETED_READ		technology/domain context; not construction authority
docs/knowledge/technologies/TECH-001_python_project_baseline.md	Aranwill/jarvis	knowledge_doc	informational	context	TARGETED_READ	TARGETED_READ		technology/domain context; not construction authority
docs/knowledge/templates/ARTIFACT_TEMPLATE.md	Aranwill/jarvis	knowledge_doc	informational	context	TARGETED_READ	TARGETED_READ		technology/domain context; not construction authority
docs/operations/operational_architecture.md	Aranwill/jarvis	documentation	informational	context	TARGETED_READ	TARGETED_READ		classified for exhaustive coverage; inspect if linked to material unit
docs/project/concepts/GOVERNED_EPHEMERAL_AGENT_EXECUTION_EVIDENCE_REFERENCE.md	Aranwill/jarvis	concept_reference	non_normative	contextual_boundary	TARGETED_READ	TARGETED_READ		non-normative context; used only when relevant to unit intent/boundary
docs/project/concepts/GOVERNED_SWARM_LONG_HORIZON_REFERENCE.md	Aranwill/jarvis	concept_reference	non_normative	contextual_boundary	TARGETED_READ	TARGETED_READ		non-normative context; used only when relevant to unit intent/boundary
docs/project/concepts/MALAK_COGNITIVE_DATASET_FOUNDATION.md	Aranwill/jarvis	concept_reference	non_normative	contextual_boundary	TARGETED_READ	TARGETED_READ		non-normative context; used only when relevant to unit intent/boundary
docs/project/concepts/MALAK_EVIDENCE_BOUND_COGNITION_FOUNDATION.md	Aranwill/jarvis	concept_reference	non_normative	contextual_boundary	TARGETED_READ	TARGETED_READ		non-normative context; used only when relevant to unit intent/boundary
docs/project/concepts/MALAK_RESEARCH_HORIZON_MAP.md	Aranwill/jarvis	concept_reference	non_normative	contextual_boundary	TARGETED_READ	TARGETED_READ		non-normative context; used only when relevant to unit intent/boundary
docs/project/concepts/README.md	Aranwill/jarvis	concept_reference	non_normative	contextual_boundary	TARGETED_READ	TARGETED_READ		non-normative context; used only when relevant to unit intent/boundary
docs/project/implementation_roadmap.md	Aranwill/jarvis	governing_or_current_state	derived_current_state	audit_governance	FULL_READ	FULL_READ		directly governs audit method, authority, architecture, security or current baseline
docs/project/project_context.md	Aranwill/jarvis	documentation	informational	context	TARGETED_READ	TARGETED_READ		classified for exhaustive coverage; inspect if linked to material unit
docs/project/repository_standard.md	Aranwill/jarvis	documentation	informational	context	TARGETED_READ	TARGETED_READ		classified for exhaustive coverage; inspect if linked to material unit
docs/project/roadmap.md	Aranwill/jarvis	documentation	informational	context	TARGETED_READ	TARGETED_READ		classified for exhaustive coverage; inspect if linked to material unit
docs/project/sprints/SPRINT-7.0.md	Aranwill/jarvis	sprint_record	historical_record	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		approved/historical sprint evidence
docs/project/sprints/SPRINT-7.1.md	Aranwill/jarvis	sprint_record	historical_record	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		approved/historical sprint evidence
docs/project/sprints/SPRINT-7.10.md	Aranwill/jarvis	sprint_record	historical_record	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		approved/historical sprint evidence
docs/project/sprints/SPRINT-7.11.md	Aranwill/jarvis	sprint_record	historical_record	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		approved/historical sprint evidence
docs/project/sprints/SPRINT-7.2.md	Aranwill/jarvis	sprint_record	historical_record	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		approved/historical sprint evidence
docs/project/sprints/SPRINT-7.3.md	Aranwill/jarvis	sprint_record	historical_record	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		approved/historical sprint evidence
docs/project/sprints/SPRINT-7.4.md	Aranwill/jarvis	sprint_record	historical_record	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		approved/historical sprint evidence
docs/project/sprints/SPRINT-7.5.md	Aranwill/jarvis	sprint_record	historical_record	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		approved/historical sprint evidence
docs/project/sprints/SPRINT-7.6.md	Aranwill/jarvis	sprint_record	historical_record	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		approved/historical sprint evidence
docs/project/sprints/SPRINT-7.7.md	Aranwill/jarvis	sprint_record	historical_record	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		approved/historical sprint evidence
docs/project/sprints/SPRINT-7.8.md	Aranwill/jarvis	sprint_record	historical_record	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		approved/historical sprint evidence
docs/project/sprints/SPRINT-7.9.md	Aranwill/jarvis	sprint_record	historical_record	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		approved/historical sprint evidence
docs/project/sprints/proposals/CONSTITUTIONAL-ASSURANCE-G0-COVERAGE-LEDGER.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/CONSTITUTIONAL-ASSURANCE-G1-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/EPISODIC-ADMISSION-ASSESSMENT-PRODUCER-AUTHORIZATION-G0-G1-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/EPISODIC-ADMISSION-ASSESSMENT-PRODUCER-AUTHORIZATION-G2-IMPLEMENTATION-CANDIDATE-SPEC.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/EPISODIC-ADMISSION-ASSESSMENT-PROVENANCE-G0-G1-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/EPISODIC-ADMISSION-ASSESSMENT-PROVENANCE-G2-IMPLEMENTATION-CANDIDATE-SPEC.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/EPISODIC-ADMISSION-GOVERNED-INPUT-PROJECTION-G0-G1-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/EPISODIC-ADMISSION-GOVERNED-INPUT-PROJECTION-G2-IMPLEMENTATION-CANDIDATE-SPEC.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/EPISODIC-ADMISSION-GOVERNED-PROJECTION-CONSUMPTION-G0-G1-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/EPISODIC-ADMISSION-GOVERNED-PROJECTION-CONSUMPTION-G2-IMPLEMENTATION-CANDIDATE-SPEC.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/EPISODIC-CANDIDATE-CONTENT-IDENTITY-G0-G1-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/EPISODIC-CANDIDATE-CONTENT-IDENTITY-G2-IMPLEMENTATION-CANDIDATE-SPEC.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/EPISODIC-CANDIDATE-CONTENT-IDENTITY-PROPAGATION-G0-G1-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/EPISODIC-CANDIDATE-CONTENT-IDENTITY-PROPAGATION-G2-IMPLEMENTATION-CANDIDATE-SPEC.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/EPISODIC-MEMORY-ADMISSION-G0-G1-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/EPISODIC-MEMORY-ADMISSION-G2-IMPLEMENTATION-CANDIDATE-SPEC.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-ADR-002-BOUND-AUTHORIZATION-ENFORCEMENT-HARDENING-G2.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-ADR-002-PERMISSION-OPERATION-BINDING-HARDENING-G2P-A.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-ASSURANCE-SIGNAL-AUTHORITY-G0-G1-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-ASSURANCE-SIGNAL-BOUNDARY-G2-IMPLEMENTATION-CANDIDATE-SPEC.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-BLUEPRINT-V0.6.2-EVIDENCE-BOUND-FINALIZATION-CANDIDATE.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-CAL-014-ADR-006-CANDIDATE.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-CAL-014-BLUEPRINT-V0.6.3-CANDIDATE.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-CAL-014-COGNITIVE-CONSTITUTION-V1.2-CANDIDATE.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-CAL-014-DECISION-INDEX-ADR-006-CANDIDATE.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-CAL-014-DURABLE-RELIANCE-CONSTITUTIONAL-IMPACT-G0-G1.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-CAL-014-NORMATIVE-PROMOTION-SCOPE-FREEZE.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-CAL-014-NORMATIVE-SCOPE-INTERPRETIVE-HARDENING.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-COGNITIVE-ASSURANCE-CONSTITUTIONAL-IMPACT-G0-G1.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-COGNITIVE-ASSURANCE-G0-RESEARCH-EVIDENCE.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-COGNITIVE-ASSURANCE-G1-PROGRESSIVE-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-COGNITIVE-ASSURANCE-NORMATIVE-PROMOTION-SCOPE-FREEZE.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-COGNITIVE-CONSTITUTION-V1.1-EVIDENCE-BOUND-FINALIZATION-CANDIDATE.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-E0-REPOSITORY-READ-PROOF-G0-G1-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-E1-GOVERNED-KNOWLEDGE-READ-G0-G1-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-E2-ENGINEERING-INSPECT-G0-G1-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-E2-STRUCTURAL-EVIDENCE-EVALUATION-PACK-V0-G0-G1-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-E2-STRUCTURAL-EVIDENCE-INTEGRATION-V0-G0-G1-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-E2-STRUCTURAL-EVIDENCE-OBSERVABILITY-V0-G0-G1-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-E3-ENGINEERING-ANALYZE-G0-G1-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-E4-ENGINEERING-PROPOSE-G0-G1-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-E5-B1-READONLY-EXPLORER-G0-COVERAGE-LEDGER.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-E5-B1-READONLY-EXPLORER-G0-G1-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-E5-ENGINEERING-CLI-G0-G1-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-E5-G0-COVERAGE-LEDGER.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-G2P-B-PERSISTENCE-AUTHORIZATION-COMPOSITION-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-PROGRESSIVE-COGNITIVE-ASSURANCE-RUNTIME-G0-INSPECTION.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-PROGRESSIVE-COGNITIVE-ASSURANCE-RUNTIME-G1-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-PROGRESSIVE-COGNITIVE-ASSURANCE-RUNTIME-G2A-IMPLEMENTATION-CANDIDATE-SPEC.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-PROGRESSIVE-COGNITIVE-ASSURANCE-RUNTIME-SCOPE-FREEZE-CANDIDATE.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-REPOSITORY-STRUCTURAL-LOOKUP-V0-G0-G1-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-REPOSITORY-STRUCTURAL-PROJECTION-V0-G0-COVERAGE-LEDGER.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/MALAK-REPOSITORY-STRUCTURAL-PROJECTION-V0-G0-G1-DESIGN.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/RDD-M1-CANDIDATE-BOUND-EVIDENCE-FOUNDATION.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/RDD-M1-G0-COVERAGE-LEDGER.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/SPRINT-7.11-G0-COVERAGE-LEDGER.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/SPRINT-7.11-REPRODUCIBLE-VALIDATION-PIPELINE-FOUNDATION.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/sprints/proposals/SPRINT-7.3-SECOND-CAPABILITY-DRAFT.md	Aranwill/jarvis	sprint_proposal	historical_or_candidate_design	historical_evidence	TARGETED_READ	HISTORICAL_REFERENCE		candidate/design/gate evidence; inspected when mapped to a material unit
docs/project/status/MALAK-POST-AUDIT-REBASELINE-20260911.md	Aranwill/jarvis	governing_or_current_state	derived_current_state	audit_governance	FULL_READ	FULL_READ		directly governs audit method, authority, architecture, security or current baseline
